#m=     1
  0.000137465773  14.8353987
  0.000147399944  7.67336845
  0.000158052164  5.29392433
  0.00016947421  4.10584068
  0.000181721683  3.39514422
  0.000194854263  2.92298126
  0.00020893589  2.58751583
  0.000224034957  2.33748913
  0.000240225403  2.14398623
  0.000257585896  1.99057674
  0.000276200735  1.86663878
  0.000296161073  1.76427412
  0.000317563885  1.67759752
  0.000340513128  1.60406196
  0.000365121174  1.54176629
  0.000391507579  1.48785198
  0.000419800635  1.44086468
  0.000450138381  1.39891672
  0.00048266878  1.36236298
  0.000517549808  1.32939637
  0.000554951839  1.30024552
  0.00059505651  1.27419174
  0.000638059515  1.2509228
  0.00068417046  1.23022258
  0.000733613444  1.2110095
  0.000786629855  1.19368804
  0.000843477203  1.17769885
  0.000904433255  1.16340315
  0.000969793939  1.15012407
  0.001039878  1.13775671
  0.00111502688  1.12659168
  0.00119560712  1.11611593
  0.00128201011  1.10644627
  0.00137465773  1.09744549
  0.00147400016  1.08883333
  0.0015805217  1.08079743
  0.00169474212  1.07335639
  0.00181721686  1.06613433
  0.00194854173  1.05900884
  0.00208935793  1.0521642
  0.00224034954  1.04547632
  0.00240225298  1.03884423
  0.0025758578  1.03222394
  0.00276200729  1.02555084
  0.00296160951  1.01884198
  0.00317563768  1.01190388
  0.0034051314  1.00474954
  0.00365121174  0.997230768
  0.00391507568  0.989366114
  0.00419800682  0.980970323
  0.00450138375  0.972041845
  0.00482668774  0.962567866
  0.00517549831  0.952415943
  0.00554951606  0.941489637
  0.00595056545  0.929765701
  0.00638059527  0.917213738
  0.00684170472  0.903779268
  0.00733613456  0.889412105
  0.00786629878  0.874098241
  0.00843477249  0.857864141
  0.0090443287  0.840687931
  0.00969793927  0.822639763
  0.0103987809  0.803753078
  0.0111502688  0.784119785
  0.0119560715  0.763861716
  0.0128201013  0.743094563
  0.0137465782  0.722010195
  0.0147400014  0.70078975
  0.0158052184  0.67960757
  0.0169474222  0.658652961
  0.0181721691  0.638053298
  0.0194854178  0.617919981
  0.0208935812  0.598318756
  0.0224034972  0.579260588
  0.0240225308  0.560820937
  0.0257585794  0.542992055
  0.0276200809  0.525789559
  0.0296161026  0.509233415
  0.031756375  0.493344009
  0.0340513214  0.478177726
  0.0365121178  0.463761568
  0.0391507484  0.450049996
  0.041980058  0.436983854
  0.0450138412  0.424525589
  0.048266869  0.412638515
  0.0517549813  0.401309192
  0.0554951727  0.390520185
  0.0595056452  0.380248666
  0.0638059527  0.370466292
  0.068417035  0.361163646
  0.0733613446  0.352324873
  0.0786629692  0.343890578
  0.0843477249  0.335837871
  0.0904433057  0.328149915
  0.0969793946  0.320805281
  0.103987806  0.313781738
  0.111502692  0.30705902
  0.119560689  0.300618261
  0.128200978  0.294442177


#m=     2
  0.000137465773  15.3555355
  0.000147399944  8.21276474
  0.000158052164  5.86434698
  0.00016947421  4.68624973
  0.000181721683  3.96993947
  0.000194854263  3.51135707
  0.00020893589  3.202842
  0.000224034957  2.98014665
  0.000240225403  2.80654716
  0.000257585896  2.66454244
  0.000276200735  2.5560112
  0.000296161073  2.4636147
  0.000317563885  2.38819051
  0.000340513128  2.32003212
  0.000365121174  2.27347517
  0.000391507579  2.23404336
  0.000419800635  2.20086956
  0.000450138381  2.17365074
  0.00048266878  2.15025067
  0.000517549808  2.13146305
  0.000554951839  2.11254764
  0.00059505651  2.09833074
  0.000638059515  2.08545184
  0.00068417046  2.0764184
  0.000733613444  2.0669806
